aID,Bag#,Size,Class,Order,Family,Genus,Species,count,Element,Portion,Segment,Side,Fusion,Scan1,Scan2,Scan3,Scan4,FFI.A,FFI.O,FFI.T,Ipcts,CM,Weath1,Weath2,Carn,Rod,Burn,MaxD,CorT,Comments
2278,M16-16-176,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,cf. virginianus,1,AS,CO,CO,L,5,AS1,SA1,SA2,-,-,-,-,0,0,3,4,0,0,0,41.72,-,
2279,M16-16-131,s,Gastropoda,-,-,-,-,4,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.57, 11.30, 16.53, 7.84, 10.66",-,
2280,L16-20-56,m,Mammalia,Artiodactyla,-,-,-,1,MT,SH,FR,U,4,-,-,-,-,1,1,1,0,0,3,3,2,0,0,84.15,4.4,
2281,L16-20-56,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,2,0,0,1,1,1,0,0,42.52,3.95,
2282,L16-20-56,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,3,0,0,35.82,3.56,
2283,L16-20-56,m,Mammalia,-,-,-,-,3,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,"28.80, 32.00, 25.01","3.65, 3.56, 4.88",
2284,L16-20-56,m,Mammalia,-,-,-,-,2,CP,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"11.09, 12.34",-,
2285,L16-20-56,m,Mammalia,Artiodactyla,Cervidae,-,-,2,CT,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,1,0,"23.92, 18.91",-,
2286,L16-20-56,m,Mammalia,Artiodactyla,-,-,-,1,CE,AP,CR,L,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,32.82,-,
2287,L16-20-56,m,Mammalia,Artiodactyla,-,-,-,1,MP,SH,FR,U,4,-,-,-,-,2,2,2,0,0,-,-,0,0,0,17.57,7.25,
2288,L16-20-56,m,Mammalia,Artiodactyla,-,-,-,1,MC,PRE,AL,R,4,-,-,-,-,2,2,2,0,0,1,3,0,0,0,24.12,3.37,
2289,L16-20-56,u,-,-,-,-,-,10,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"6.43, 5.13, 9.47, 17.87, 10.89, 18.28, 9.28, 19.23, 22.75, 15.49",-,
2290,L16-20-56,u,-,-,-,-,-,30,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"5.87, 14.85, 8.75, 13.34, 7.49, 9.95, 8.14, 9.94, 13.04, 7.76, 9.86, 11.98, 10.98, 8.44, 8.54, 6.10, 7.15, 10.86, 12.27, 10.21, 16.23, 9.80, 24.65, 8.47, 8.23, 9.01, 13.40, 10.69, 6.03, 6.09",-,
2291,L16-20-56,s,Bivalvia,-,-,-,-,2,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"8.30, 13.72",-,
2292,M16-16-18,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,9.14,-,
2293,M16-16-18,s,Bivalvia,-,-,-,-,6,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"18.04, 9.02, 12.02, 8.49, 8.34, 7.01",-,
2294,M16-16-18,u,-,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"9.04, 11.54, 10.49, 9.10",-,
2295,M16-16-18,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"18.98, 5.97, 18.54",-,
2296,M16-16-18,m,Mammalia,Rodentia,Castoridae,Castor,canadensis,1,HM,DSS,CO,R,3,-,-,-,-,2,2,2,0,0,1,1,3,0,0,73.6,-,
2297,M16-16-18,m,Mammalia,-,-,-,-,1,TA,SH,PL,L,4,-,-,-,-,1,2,2,0,0,1,1,0,0,0,29.54,3.29,
2298,M16-16-18,u,-,-,-,-,-,4,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"15.01, 20.22, 19.86, 23.26","2.66, 3.42, 2.66, 2.67",
2299,M16-16-18,u,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,37.79,-,
2300,M16-16-18,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,24.34,1.36,
2301,M16-16-18,u,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,2,0,0,35.86,-,
2302,L16-20-3,m,Mammalia,Artiodactyla,-,-,-,1,HM,DS,CO,R,3,HU4,HU5,-,-,0,0,1,0,0,1,1,2,0,0,62.57,5.79,Carnivore damage prevents more specific taxonomic ID
2303,L16-20-3,s,Bivalvia,-,-,-,-,10,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"6.07, 14.88, 7.37, 7.49, 6.53, 29.18, 14.00, 23.51, 29.32, 35.28, 11.12",-,
2304,L16-20-3,u,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,2,0,0,71.59,-,
2305,L16-20-3,u,-,-,-,-,-,5,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"27.13, 20.76, 19.39, 29.96, 12.52",-,
2306,L16-20-3,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,2,0,0,"36.86, 25.03",-,
2307,L16-20-3,m,Mammalia,-,-,-,-,4,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,1,"19.09, 16.10, 24.54, 37.11","2.93, 3.23, 4.96, 2.86",
2308,L16-20-3,m,Mammalia,-,-,-,-,8,LB,SH,FR,U,4,-,-,-,-,1,1,2,0,0,1,1,0,0,0,"30.12, 51.66, 47.27, 12.20, 23.87, 25.66, 30.61, 36.19","3.66, 4.30, 3.35, 3.46, 3.04, 5.93, 1.77, 4.39",
2309,L16-26-10,u,-,-,-,-,-,17,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"13.41, 12.66, 10.26, 12.94, 5.15, 9.04, 6.51, 9.74, 8.88, 9.76, 5.45, 11.02, 5.54, 7.75, 6.64, 8.57, 8.44",-,
2310,L16-26-10,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,5.31,-,
2311,L16-26-10,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,0,14.59,4.05,
2312,L16-26-10,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.69, 4.81, 8.55",-,
2313,L16-26-10,u,Mammalia,-,-,-,-,4,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"4.16, 8.25, 7.47, 8.83",-,
2314,L16-26-10,m,Mammalia,-,-,-,-,1,MP,DSE,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,3,12.25,-,
2315,M16-16-146,u,-,-,-,-,-,10,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"4.61, 3.52, 2.88, 5.05, 7.18, 11.58, 6.23, 7.33, 8.12, 7.75",-,
2316,M16-16-146,u,-,-,-,-,-,6,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"6.58, 19.11, 13.64, 8.57, 8.86, 13.06",-,
2317,M16-16-46,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,1,0,0,1,1,0,0,0,36.72,4.36,
2318,M16-16-46,u,-,-,-,-,-,7,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"9.57, 10.67, 5.14, 12.68, 8.41, 18.30, 9.92",-,
2319,M16-16-46,u,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,2,8.32,2.26,
2320,M16-16-46,u,-,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"11.47, 11.41, 11.12, 17.11",-,
2321,M16-16-60,s,Mammalia,Lagomorpha,Leporidae,Lepus,-,1,CT,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,11.83,-,
2322,M16-16-60,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,11.12,-,
2323,M16-16-87,m,Mammalia,-,-,-,-,1,RB,NE,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,27.13,-,
2324,M16-16-87,s,Reptilia,Testudines,-,-,-,2,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"21.62, 13.89",-,
2325,M16-16-87,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,12.91,-,
2326,M16-16-87,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,15.71,-,
2327,M16-16-87,u,-,-,-,-,-,7,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"10.85, 10.14, 14.63, 13.45, 14.73, 7.31, 12.13",-,
2328,M16-16-87,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"16.29, 19.03",-,
2329,M16-16-87,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"26.42, 24.05",-,
2330,M16-16-87,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,"6.31, 11.26, 23.22",-,
2331,M16-16-87,s,Mammalia,-,-,-,-,1,MR,TW,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,10.8,-,Rodentia or Lagomorpha
2332,M16-16-107,s,Reptilia,Testudines,-,-,-,2,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"15.41, 13.89",-,
2333,M16-16-107,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.88, 16.63, 7.60",-,
2334,M16-16-146,s,Gastropoda,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.14,-,
2335,M16-16-108,s,Gastropoda,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.66,-,
2336,M16-16-1,s,Bivalvia,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.91, 10.54, 9.20",-,
2337,M16-16-1,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,7.74,-,
2338,M16-16-1,u,-,-,-,-,-,43,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"11.70, 9.59, 9.18, 6.22, 10.90, 9.96, 7.79, 4.74, 5.41, 7.12, 16.80, 8.18, 10.35, 7.55, 12.44, 7.29, 12.72, 13.57, 10.78, 9.39, 13.00, 8.93, 9.99, 9.44, 8.78, 12.20, 11.12, 8.28, 14.01, 10.34, 7.57, 12.09, 8.81, 7.68, 8.98, 10.28, 8.90, 7.89, 6.23, 9.74, 10.71, 11.22, 21.08",-,
2339,M16-16-1,u,-,-,-,-,-,17,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"11.79, 21.30, 19.33, 15.04, 11.64, 9.17, 20.64, 10.62, 14.32, 17.46, 15.95, 10.90, 13.34, 10.92, 10.52, 10.04, 11.54",-,
2340,M16-16-1,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,16.19,-,
2341,M16-16-1,u,-,-,-,-,-,8,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"13.67, 13.33, 11.14, 17.69, 21.04, 12.49, 8.44, 12.22",-,
2342,M16-16-1,m,Mammalia,-,-,-,-,7,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,0,"34.46, 33.99, 20.30, 25.62, 22.56, 27.16, 23.87","3.64, 3.00, 2.98, 4.32, 4.31, 3.04, 3.42",
2343,M16-16-1,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,0,1,0,0,1,1,0,0,1,35.89,4.47,
2344,M16-16-1,u,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,0,14.54,2.18,
2345,M16-16-1,s,Mammalia,Lagomorpha,Leporidae,-,-,1,IUUN,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,12.65,-,
2346,M16-16-1,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,1,17.44,1.06,
2347,M16-16-1,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,3,8.12,1.03,
2348,M16-16-1,s,Mammalia,Lagomorpha,Leporidae,Lepus,-,1,PHU,DS,CO,U,3,-,-,-,-,-,-,-,0,0,-,-,0,0,3,7.81,1.04,
2349,M16-16-155,s,Bivalvia,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,10.23,-,
2350,M16-16-19,l,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,2,0,0,1,1,1,0,0,97.27,10.21,
2351,M16-16-19,l,Mammalia,-,-,-,-,1,VT,US,FR,A,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,26.81,-,
2352,M16-16-19,s,Mammalia,Rodentia,-,-,-,1,IUUN,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,14.16,-,
2353,M16-16-19,s,Bivalvia,-,-,-,-,6,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"5.59, 8.18, 4.72, 29.93, 16.02, 11.13",-,
2354,M16-16-19,m,Mammalia,Artiodactyla,-,-,-,1,MR,CR,FR,L,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,33.85,-,
2355,M16-16-19,s,Mammalia,Lagomorpha,Leporidae,-,-,1,HM,DSE,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.59,-,
2356,M16-16-19,u,-,-,-,-,-,7,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"10.79, 10.22, 21.77, 16.36, 14.20, 6.20, 8.43",-,
2357,M16-16-19,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,13.97,-,
2358,M16-16-19,u,-,-,-,-,-,12,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"8.05, 23.58, 18.53, 16.61, 7.14, 9.38, 23.26, 8.99, 13.24, 16.15, 7.46, 18.05",-,
2359,M16-16-19,m,Mammalia,-,-,-,-,3,LB,SH,FR,U,4,-,-,-,-,1,2,1,0,0,1,1,0,0,0,"22.83, 37.11, 34.00","4.31, 4.19, 3.08",
2360,M16-16-19,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,3,0,0,31.21,3.85,
2361,M16-16-19,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,1,"21.03, 30.54","6.03, 4.35",
2362,M16-16-19,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"10.82, 13.10",-,
2363,M16-16-19,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,15.14,-,
2364,M16-16-55,m,Mammalia,Carnivora,Canidae,Canis,-,1,MR,AR,CO,L,4,-,-,-,-,-,-,-,0,0,6,6,0,0,0,95.31,-,"In situ M1, comparable to latrans."
2365,L16-20-35,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"13.89, 7.72",-,
2366,M16-16-133,s,Mammalia,Lagomorpha,Leporidae,-,-,1,CT,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.56,-,
2367,M16-16-55,s,-,-,-,-,-,4,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"13.60, 15.78, 11.92, 14.31","0.39, 0.85, 0.78, 0.80",
2368,M16-16-55,s,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,16.31,-,
2369,M16-16-55,u,-,-,-,-,-,21,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"14.33, 9.41, 16.02, 19.36, 20.43, 9.65, 12.09, 20.72, 16.47, 10.06, 14.77, 31.56, 18.13, 11.14, 13.25, 9.33, 21.13, 15.45, 9.88, 22.42, 31.95",-,
2370,M16-16-55,m,Mammalia,-,-,-,-,2,RB,BL,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"28.98, 15.54",-,
2371,M16-16-55,u,-,-,-,-,-,16,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"8.73, 7.77, 9.29, 8.89, 13.56, 8.18, 8.76, 8.19, 10.95, 7.99, 6.44, 8.64, 9.94, 9.37, 10.53",-,
2372,M16-16-55,m,Mammalia,-,-,-,-,3,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"21.64, 28.83, 23.01","2.54, 3.71, 4.61",
2373,M16-16-55,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,3,"21.02, 14.98","4.01, 2.59",
2374,M16-16-55,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"18.67, 12.59, 27.43",-,
2375,M16-16-55,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,0,1,0,0,1,1,0,0,1,15.96,4.1,
2376,M16-16-55,u,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,1,25.63,1.82,
2377,L16-20-4,m,Mammalia,-,-,-,-,1,TA,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,0,39.71,4.34,
2378,L16-20-4,u,-,-,-,-,-,6,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"10.87, 8.78, 8.22, 5.84, 11.39, 13.47",-,
2379,L16-20-4,m,Mammalia,Artiodactyla,Cervidae,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,13.46,-,
2380,L16-20-4,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,3,14.71,3.94,
2381,L16-20-4,u,-,-,-,-,-,5,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"19.33, 20.54, 16.72, 13.04, 13.99",-,
2382,L16-20-4,u,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,27.2,-,l or m mammal
2383,M16-16-3,u,-,-,-,-,-,15,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"28.59, 12.61, 9.33, 11.46, 8.66, 8.06, 10.08, 10.90, 9.36, 10.85, 8.62, 10.77, 11.17, 7.19, 10.11, 17.06",-,
2384,M16-16-3,u,-,-,-,-,-,23,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"18.54, 27.22, 13.51, 9.61, 15.08, 16.62, 12.74, 16.53, 17.14, 15.93, 15.78, 11.16, 17.68, 10.90, 18.73, 11.86, 29.57, 16.28, 11.85, 12.75, 12.47, 18.89, 15.07",-,
2385,M16-16-3,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,0,22.26,3.31,
2386,M16-16-3,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,"13.83, 7.21",-,
2387,M16-16-3,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"10.11, 11.14",-,
2388,M16-16-3,s,-,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"12.68, 15.44","1.00, 0.73",
2389,M16-16-3,s,-,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.90, 12.24","1.71, 2.59",
2390,M16-16-3,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,11.15,-,
2391,M16-16-3,m,Mammalia,-,-,-,-,3,LB,SH,FR,U,4,-,-,-,-,0,0,0,0,0,1,1,0,0,1,"22.80, 14.55, 20.38","5.02, 2.97, 4.29",
2392,M16-16-3,m,Mammalia,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"19.01, 18.54",-,
2393,M16-16-157,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,20.43,-,
2394,M16-16-167,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,14.19,-,
2395,M16-16-127,s,Bivalvia,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.94,-,
2396,M16-16-113,s,Reptilia,Testudines,-,-,-,5,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"18.22, 16.00, 15.36, 21.21, 14.64",-,
2397,M16-16-113,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"14.34, 15.08",-,
2398,M16-16-113,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"26.08, 28.52",-,
2399,M16-16-113,u,-,-,-,-,-,12,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"7.66, 4.35, 7.47, 8.72, 6.85, 8.31, 10.84, 7.24, 7.51, 14.78, 7.65, 5.63",-,
2400,M16-16-26,m,Mammalia,Artiodactyla,-,-,-,1,CE,AP,AL,R,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,48.47,-,
2401,M16-16-26,m,Mammalia,Rodentia,Castoridae,Castor,canadensis,1,CT,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,13.79,-,
2402,M16-16-26,u,Mammalia,-,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.89,-,
2403,M16-16-26,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,11.02,-,
2404,M16-16-26,u,Mammalia,-,-,-,-,1,CRN,US,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,22.36,-,dental crypt fragments
2405,M16-16-26,s,Bivalvia,-,-,-,-,4,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"20.33, 7.29, 8.61, 36.86",-,
2406,M16-16-26,m,Mammalia,-,-,-,-,4,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,"30.27, 31.99, 22.86, 26.56","5.04, 4.34, 3.63, 4.19",
2407,M16-16-26,u,-,-,-,-,-,6,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.96, 9.81, 15.68, 13.17, 12.45, 4.34",-,
2408,M16-16-26,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"12.12, 3.99",-,
2409,M16-16-129,s,Bivalvia,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.24,-,
2410,M16-16-129,s,Bivalvia,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.89,-,
2411,M16-16-55,s,Mammalia,-,-,-,-,1,IUUN,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,14.1,-,
2412,M16-16-55,u,Mammalia,-,-,-,-,2,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"13.77, 11.94",-,
2413,M16-16-123,s,Bivalvia,-,-,-,-,9,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"37.56, 2.40, 2.57, 3.60, 3.61, 6.83, 5.20, 5.25, 5.95",-,
2414,M16-16-15,u,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,2,0,0,98.57,-,medium or large mammal
2415,M16-16-15,m,Mammalia,-,-,-,-,1,CRN,US,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,37.8,-,dental crypt fragments
2416,M16-16-15,s,Bivalvia,-,-,-,-,6,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.18, 10.52, 6.67, 4.38, 12.29, 9.49",-,
2417,M16-16-15,m,Mammalia,-,-,-,-,1,CRN,US,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,29.18,-,
2418,M16-16-15,u,-,-,-,-,-,9,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"6.30, 8.56, 13.96, 11.81, 6.95, 7.99, 9.33, 13.07",-,
2419,M16-16-15,u,-,-,-,-,-,14,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"8.96, 8.78, 8.72, 11.16, 22.13, 16.45, 20.66, 26.13, 19.11, 17.76, 15.82, 10.69, 11.97, 15.07",-,
2420,M16-16-15,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,M1MX,CO,CO,R,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,23.21,-,
2421,M16-16-15,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,1,39.22,4.61,
2422,M16-16-81,s,Bivalvia,-,-,-,-,14,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"29.20, 27.07, 44.83, 27.18, 13.57, 9.91, 11.40, 8.60, 3.14, 6.22, 8.74, 5.58, 4.26, 5.72",-,
2423,M16-16-97,u,-,-,-,-,-,11,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"34.48, 10.07, 18.32, 5.93, 5.95, 3.07, 7.79, 4.57, 10.30, 5.53, 4.68",-,
2424,M16-16-97,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,14.36,-,
2425,M16-16-46,s,Gastropoda,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,-,-,"Highly fragmented, all under 5 mm"
